indicator,normalized,trades,avg_hold_days,coherence_pct,pearson_r,spearman_r,stability,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,bnh_total_return_pct,bnh_annualized_return_pct
DSMA | viResearch,dsma_viresearch,53,24.0,68.5663082437276,0.3975,0.3975,0.45627240143369174,39117.58,118.42,2.1722,-25.65,730.82,31.91
HILO Interpolation | QuantEdgeB,hilo_interpolation_quantedgeb,38,33.6,67.1326164874552,0.3639,0.3639,0.45770609318996414,61641.46,131.78,2.2398,-23.66,730.82,31.91
Gaussian Smooth Trend | QuantEdgeB,gaussian_smooth_trend_quantedgeb,31,44.5,65.08960573476702,0.3649,0.3649,0.4939068100358423,57449.92,129.66,2.15,-30.86,730.82,31.91
Median Deviation Suite | InvestorUnknown,median_deviation_suite_investorunknown,49,26.8,64.6236559139785,0.3198,0.3198,0.4706093189964158,93155.18,144.63,2.3441,-23.17,730.82,31.91
Linear % ST | QuantEdgeB,linear_st_quantedgeb,41,32.1,64.19354838709678,0.3102,0.3102,0.471326164874552,118241.52,152.37,2.3219,-40.43,730.82,31.91
alma lag | viResearch,alma_lag_viresearch,36,39.6,63.584229390681,0.3517,0.3517,0.5103942652329749,50766.53,125.98,2.0958,-26.23,730.82,31.91
IRS`Elder Force Volume Index,irs_elder_force_volume_index,67,21.5,63.297491039426525,0.3542,0.3542,0.5168458781362008,132779.18,156.23,2.3744,-25.65,730.82,31.91
Root Mean Square Deviation Trend,root_mean_square_deviation_trend,31,46.6,63.18996415770609,0.3531,0.3531,0.517921146953405,25847.61,106.93,1.8929,-34.06,730.82,31.91
Polynomial Deviation Bands,polynomial_deviation_bands,39,36.5,61.25448028673836,0.2935,0.2935,0.5100358422939069,21850.32,102.45,1.8472,-35.48,730.82,31.91
Adaptive Regime Cloud,adaptive_regime_cloud,47,31.1,60.64516129032258,0.3002,0.3002,0.524731182795699,86900.27,142.42,2.2228,-23.32,730.82,31.91
MadTrend | InvestorUnknown,madtrend_investorunknown,41,37.1,59.820788530465954,0.3105,0.3105,0.5451612903225806,64907.66,133.35,2.141,-29.81,730.82,31.91
lsma | viResearch,lsma_viresearch,38,39.1,59.390681003584234,0.2803,0.2803,0.532258064516129,90344.67,143.65,2.2611,-27.42,730.82,31.91
Quantile DEMA Trend | QuantEdgeB,quantile_dema_trend_quantedgeb,33,45.8,58.74551971326165,0.2794,0.2794,0.5422939068100359,41153.58,119.87,1.9854,-29.62,730.82,31.91
DEGA RMA | QuantEdgeB,dega_rma_quantedgeb,56,26.5,58.17204301075268,0.2501,0.2501,0.532258064516129,205059.92,171.21,2.4601,-25.0,730.82,31.91
Adaptive Volatility Controlled LSMA | QuantAlgo,adaptive_volatility_controlled_lsma_quantalgo,40,37.4,55.55555555555556,0.1899,0.1899,0.535483870967742,40042.0,119.09,1.9839,-30.55,730.82,31.91
